IMO Number, Engine S/N, Channel, Channel Description, Timestamp, Value, Unit
8502391,DC1632Z0001,0161,"S M/E EXH No.1 CYL TEMP",2018-01-25 09:29:09,11.97,°C
8502391,DC1632Z0001,0162,"S M/E EXH No.2 CYL TEMP",2018-01-25 09:29:09,11.97,°C
8502391,DC1632Z0001,0163,"S M/E EXH No.3 CYL TEMP",2018-01-25 09:29:09,149.19,°C
8502391,DC1632Z0001,0164,"S M/E EXH No.4 CYL TEMP",2018-01-25 09:29:09,229.51,°C
8502391,DC1632Z0001,0261,"P M/E EXH No.1 CYL TEMP",2018-01-25 09:29:09,11.97,°C
8502391,DC1632Z0001,0262,"P M/E EXH No.2 CYL TEMP",2018-01-25 09:29:09,11.97,°C
8502391,DC1632Z0001,0263,"P M/E EXH No.3 CYL TEMP",2018-01-25 09:29:09,149.19,°C
8502391,DC1632Z0001,0264,"P M/E EXH No.4 CYL TEMP",2018-01-25 09:29:09,229.51,°C
8502391,DC1632Z0002,10001,"Lub. oil filter differential pressure high",2018-01-25 09:29:09,0,Nil
8502391,DC1632Z0002,10017,"Engine run",2018-01-25 09:29:09,1,Nil
8502391,DC1632Z0002,10033,"System failure",2018-01-25 09:29:09,0,Nil
8502391,DC1632Z0002,10034,"Control module failure",2018-01-25 09:29:09,1,Nil
8502391,DC1632Z0002,10035,"Safety module failure",2018-01-25 09:29:09,1,Nil
8502391,DC1632Z0002,10036,"Link to engine condition display failure",2018-01-25 09:29:09,0,Nil
8502391,DC1632Z0002,10037,"Link to remote I/0-1 failure",2018-01-25 09:29:09,1,Nil
8502391,DC1632Z0002,10038,"Link to remote I/O 2 failure",2018-01-25 09:29:09,1,Nil
